xsurvey,num_SDPall,num_SDPpub,num_SDPpub12,num_SDPlow,noSDPany,noSDPpub,noSDPpub12,noSDPlow,min_num_SDPall,min_num_SDPpub,min_num_SDPpub12,min_num_SDPlow,max_num_SDPall,max_num_SDPpub,max_num_SDPpub12,max_num_SDPlow,p10_num_SDPall,p10_num_SDPpub,p10_num_SDPpub12,p10_num_SDPlow,p25_num_SDPall,p25_num_SDPpub,p25_num_SDPpub12,p25_num_SDPlow,p50_num_SDPall,p50_num_SDPpub,p50_num_SDPpub12,p50_num_SDPlow,p90_num_SDPall,p90_num_SDPpub,p90_num_SDPpub12,p90_num_SDPlow,nEASDP,nSDP,nSDPpub,nSDPprivate,nEA,country,round
BFR2,2.981132075471698,2.716981132075472,1.735849056603774,1.849056603773585,0,0,0,0,2,2,1,1,5,4,3,3,2,2,1,1,3,2,1,2,3,3,2,2,4,3,2,2,158,100,86,14,53,BF,2
BFR3,3.012048192771084,2.746987951807229,1.759036144578313,1.91566265060241,0,0,1.2048192,1.2048192,1,1,0,0,6,5,4,5,2,2,1,1,2,2,1,1,3,3,2,2,4,3,2,3,250,132,110,22,83,BF,3
BFR4,2.867469879518072,2.686746987951807,1.698795180722892,1.819277108433735,0,0,2.4096384,1.2048192,2,2,0,0,6,5,4,4,2,2,1,1,2,2,1,1,3,3,2,2,4,3,2,3,238,129,114,15,83,BF,4
BFR5,2.650602409638554,2.469879518072289,1.63855421686747,1.759036144578313,1.2048192,1.2048192,3.6144576,2.4096384,0,0,0,0,6,4,3,4,2,2,1,1,2,2,1,1,3,3,2,2,3,3,2,2,220,130,115,15,83,BF,5
BFR6,1.650602409638554,1.506024096385542,1.192771084337349,1.289156626506024,22.891565,22.891565,24.096386,24.096386,0,0,0,0,4,3,2,3,0,0,0,0,1,1,1,1,2,2,1,1,3,3,2,2,137,96,84,12,83,BF,6
ETR2,2.29,2,1.36,1.52,1,3,4.5,3,0,0,0,0,6,3,2,4,1,1,1,1,2,2,1,1,2,2,1,1,3,3,2,2,458,398,342,56,200,ET,2
ETR2,2.29,2,1.36,1.52,1,3,4.5,3,0,0,0,0,6,3,2,4,1,1,1,1,2,2,1,1,2,2,1,1,3,3,2,2,458,398,342,56,200,ET,2
ETR3,2.271493212669683,2.004524886877828,1.384615384615385,1.538461538461539,.45248872,1.8099549,4.0723982,3.1674211,0,0,0,0,6,4,3,5,1,1,1,1,2,2,1,1,2,2,1,1,3,3,2,2,502,444,385,59,221,ET,3
ETR4,2.298642533936651,2.013574660633484,1.380090497737557,1.547511312217195,.90497744,1.8099549,4.0723982,2.7149322,0,0,0,0,6,4,3,5,1,1,1,1,2,2,1,1,2,2,1,1,3,3,2,2,508,456,395,61,221,ET,4
ETR5,2.217194570135747,1.995475113122172,1.34841628959276,1.457013574660633,1.3574661,1.8099549,6.7873306,6.3348422,0,0,0,0,6,4,3,4,1,1,1,1,2,1,1,1,2,2,1,1,3,3,2,2,490,442,393,49,221,ET,5
ETR6,2.269911504424779,2.039823008849558,1.349557522123894,1.45575221238938,1.3274336,1.7699115,6.6371679,6.1946902,0,0,0,0,6,4,3,4,1,1,1,1,2,2,1,1,2,2,1,1,3,3,2,2,513,465,413,52,221,ET,6
KER2,3.891666666666667,3.391666666666667,1.791666666666667,1.983333333333333,.83333337,.83333337,13.333334,10.833333,0,0,0,0,10,9,6,7,2,2,0,0,3,2,1,1,4,3,2,2,6,5,4,4,467,324,264,60,120,KE,2
KER3,4.091666666666667,3.408333333333333,1.766666666666667,2.058333333333333,.83333337,.83333337,13.333334,10,0,0,0,0,9,8,6,7,2,2,0,.5,3,2,1,1,4,3,2,2,6.5,5,3.5,4,491,348,266,82,120,KE,3
KER4,4.008333333333334,3.441666666666667,1.783333333333333,2,0,.83333337,11.666667,9.166667,1,0,0,0,9,8,6,7,2,2,0,1,3,2.5,1,1,4,3,2,2,6,5,3,3,481,338,270,68,120,KE,4
KER5,3.582781456953642,3.112582781456954,1.774834437086093,1.927152317880795,1.986755,2.6490066,16.556292,13.907285,0,0,0,0,10,10,6,8,1,1,0,0,2,2,1,1,3,3,2,2,6,6,4,4,541,410,339,71,151,KE,5
KER6,3.675496688741722,3.251655629139073,1.887417218543046,1.980132450331126,1.3245033,2.6490066,14.569536,11.920529,0,0,0,0,9,8,6,7,2,1,0,0,2,2,1,1,3,3,2,2,6,6,4,4,555,416,352,64,151,KE,6
KER7,3.71523178807947,3.231788079470199,1.900662251655629,2.026490066225166,.66225165,1.3245033,14.569536,13.245032,0,0,0,0,8,8,7,7,2,1,0,0,2,2,1,1,3,3,2,2,6,6,4,4,561,419,353,66,151,KE,7
NGKanoR3,1.25,.6944444444444444,.5555555555555556,.5833333333333334,38.888889,55.555557,55.555557,55.555557,0,0,0,0,4,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,2,45,44,24,20,36,NGKano,3
NGKanoR4,2.25,1.611111111111111,1.111111111111111,1.138888888888889,0,0,11.111112,11.111112,1,1,0,0,5,3,3,3,1,1,0,0,1,1,1,1,2,1.5,1,1,4,3,2,2,81,69,46,23,36,NGKano,4
NGKanoR5,2.243243243243243,1.567567567567568,1.027027027027027,1.027027027027027,0,2.7027028,16.216215,16.216215,1,0,0,0,5,3,2,2,1,1,0,0,1,1,1,1,2,2,1,1,4,2,2,2,83,70,45,25,36,NGKano,5
NGLagosR2,2.519230769230769,1.442307692307692,1.019230769230769,1.076923076923077,1.923077,15.384616,25,23.076923,0,0,0,0,6,4,3,3,1,0,0,0,2,1,.5,1,2,1.5,1,1,4,2,2,2,131,123,67,56,52,NGLagos,2
NGLagosR3,2.961538461538462,1.884615384615385,1.076923076923077,1.153846153846154,0,3.846154,13.461539,9.6153851,1,0,0,0,5,3,2,3,2,1,0,1,2,2,1,1,3,2,1,1,5,3,2,2,154,124,68,56,52,NGLagos,3
NGLagosR4,2.788461538461538,1.826923076923077,1.057692307692308,1.115384615384615,1.923077,1.923077,11.538462,11.538462,0,0,0,0,6,3,3,3,2,1,0,0,2,1.5,1,1,3,2,1,1,4,2,2,2,145,117,67,50,52,NGLagos,4
NGLagosR5,3,2.096153846153846,1.115384615384615,1.211538461538461,3.846154,3.846154,13.461539,11.538462,0,0,0,0,6,4,3,3,2,1,0,0,2,2,1,1,3,2,1,1,4,3,2,2,156,120,73,47,52,NGLagos,5
UGR2,4.227272727272728,3.045454545454545,1.472727272727273,1.872727272727273,0,0,6.363636,3.6363635,1,1,0,0,8,5,2,5,3,2,1,1,3,3,1,1,4,3,2,2,6,4,2,3,465,360,231,129,110,UG,2
UGR3,4.245454545454545,3.036363636363636,1.436363636363636,1.818181818181818,0,0,8.181818,4.5454545,1,1,0,0,7,5,3,4,3,2,1,1,3,2,1,1,4,3,2,2,6,4,2,3,467,362,230,132,110,UG,3
UGR4,4.109090909090909,2.845454545454545,1.445454545454546,1.736363636363636,0,.90909088,8.181818,3.6363635,1,0,0,0,7,5,3,4,2,1.5,1,1,3,2,1,1,4,3,2,2,6,4,2,2.5,452,350,224,126,110,UG,4
UGR5,3.963636363636364,2.9,1.390909090909091,1.727272727272727,0,.90909088,9.090909,5.4545455,1,0,0,0,8,5,3,4,2,2,1,1,3,2,1,1,4,3,1,2,6,4,2,3,436,335,219,116,110,UG,5
UGR6,4.036363636363636,2.881818181818182,1.409090909090909,1.718181818181818,0,.90909088,9.090909,3.6363635,1,0,0,0,7,5,2,5,2,2,1,1,3,2,1,1,4,3,1.5,2,6,4,2,2.5,444,342,216,126,110,UG,6
